Entity,Code,Year,Solar (% equivalent primary energy)
Algeria,DZA,2010,0.0057517756
Algeria,DZA,2011,0.010760946
Algeria,DZA,2012,0.014433099
Algeria,DZA,2013,0.014515886
Algeria,DZA,2014,0.027756516
Algeria,DZA,2015,0.025293589
Algeria,DZA,2016,0.106301226
Algeria,DZA,2017,0.21502112
Algeria,DZA,2018,0.23763257
Algeria,DZA,2019,0.23329379
Algeria,DZA,2020,0.27490386
Algeria,DZA,2021,0.2537999
Argentina,ARG,1998,0.0000073034457
Argentina,ARG,1999,0.000011056523
Argentina,ARG,2000,0.000015225888
Argentina,ARG,2001,0.00001851931
Argentina,ARG,2002,0.000020968526
Argentina,ARG,2003,0.000026889687
Argentina,ARG,2004,0.00002707599
Argentina,ARG,2005,0.000029337736
Argentina,ARG,2006,0.000030835607
Argentina,ARG,2007,0.000035572175
Argentina,ARG,2008,0.000045872686
Argentina,ARG,2009,0.000024896292
Argentina,ARG,2010,0.000026933396
Argentina,ARG,2011,0.00048874883
Argentina,ARG,2012,0.0023722528
Argentina,ARG,2013,0.0041799652
Argentina,ARG,2014,0.004408179
Argentina,ARG,2015,0.003967834
Argentina,ARG,2016,0.0038529567
Argentina,ARG,2017,0.0044105537
Argentina,ARG,2018,0.029088747
Argentina,ARG,2019,0.2264681
Argentina,ARG,2020,0.4008213
Argentina,ARG,2021,0.6025807
Australia,AUS,1991,0.0015713469
Australia,AUS,1992,0.0034331074
Australia,AUS,1993,0.004057215
Australia,AUS,1994,0.004654296
Australia,AUS,1995,0.0054180315
Australia,AUS,1996,0.0063712257
Australia,AUS,1997,0.0074453754
Australia,AUS,1998,0.008446305
Australia,AUS,1999,0.009253798
Australia,AUS,2000,0.010590934
Australia,AUS,2001,0.012093879
Australia,AUS,2002,0.0126825925
Australia,AUS,2003,0.013468503
Australia,AUS,2004,0.014967943
Australia,AUS,2005,0.017064556
Australia,AUS,2006,0.01886183
Australia,AUS,2007,0.021354998
Australia,AUS,2008,0.02553688
Australia,AUS,2009,0.053695828
Australia,AUS,2010,0.17984296
Australia,AUS,2011,0.36254582
Australia,AUS,2012,0.43144733
Australia,AUS,2013,0.67549014
Australia,AUS,2014,0.8583198
Australia,AUS,2015,1.0430601
Australia,AUS,2016,1.240174
Australia,AUS,2017,1.4830128
Australia,AUS,2018,2.0125694
Australia,AUS,2019,2.8727212
Australia,AUS,2020,3.9293382
Australia,AUS,2021,5.1371794
Austria,AUT,1993,0.0008361936
Austria,AUT,1994,0.00084134325
Austria,AUT,1995,0.00080223364
Austria,AUT,1996,0.00080120005
Austria,AUT,1997,0.0015766482
Austria,AUT,1998,0.0015517782
Austria,AUT,1999,0.0015173523
Austria,AUT,2000,0.0022638105
Austria,AUT,2001,0.003624952
Austria,AUT,2002,0.0064722486
Austria,AUT,2003,0.010603667
Austria,AUT,2004,0.012412875
Austria,AUT,2005,0.014155443
Austria,AUT,2006,0.015140214
Austria,AUT,2007,0.016642988
Austria,AUT,2008,0.020161616
Austria,AUT,2009,0.03358211
Austria,AUT,2010,0.058682047
Austria,AUT,2011,0.12207817
Austria,AUT,2012,0.22344941
Austria,AUT,2013,0.41479012
Austria,AUT,2014,0.53879297
Austria,AUT,2015,0.6384205
Austria,AUT,2016,0.71822053
Austria,AUT,2017,0.8086372
Austria,AUT,2018,0.943997
Austria,AUT,2019,1.0477524
Austria,AUT,2020,1.3402594
Austria,AUT,2021,1.3500032
Azerbaijan,AZE,2013,0.001417802
Azerbaijan,AZE,2014,0.0050175292
Azerbaijan,AZE,2015,0.0072310963
Azerbaijan,AZE,2016,0.05567471
Azerbaijan,AZE,2017,0.059466675
Azerbaijan,AZE,2018,0.060636796
Azerbaijan,AZE,2019,0.06449285
Azerbaijan,AZE,2020,0.06958649
Azerbaijan,AZE,2021,0.07882303
Bangladesh,BGD,2002,0.00018171086
Bangladesh,BGD,2003,0.0015348764
Bangladesh,BGD,2004,0.0031098444
Bangladesh,BGD,2005,0.005123462
Bangladesh,BGD,2006,0.007471661
Bangladesh,BGD,2007,0.012092078
Bangladesh,BGD,2008,0.019183535
Bangladesh,BGD,2009,0.028650079
Bangladesh,BGD,2010,0.049077056
Bangladesh,BGD,2011,0.059171308
Bangladesh,BGD,2012,0.08551355
Bangladesh,BGD,2013,0.11757772
Bangladesh,BGD,2014,0.14468744
Bangladesh,BGD,2015,0.146962
Bangladesh,BGD,2016,0.15931898
Bangladesh,BGD,2017,0.17552204
Bangladesh,BGD,2018,0.17885798
Bangladesh,BGD,2019,0.1907694
Bangladesh,BGD,2020,0.23347098
Bangladesh,BGD,2021,0.25673142
